Timestamp,Elec_Consump,Light_Lux,Temperature,Humidity
01/01/2023 21:45,4.982500076,0,3.954177618,88.58226013
01/01/2023 22:00,5.054999828,0,3.847556353,87.75484467
01/01/2023 22:15,4.947499752,0,3.824160814,87.08836365
01/01/2023 22:30,5.014999866,0,4.010788918,85.89441681
01/01/2023 22:45,5,0,3.850167036,85.67034149
01/01/2023 23:00,5.009999752,0,3.800576448,86.3294754
01/01/2023 23:15,4.897500038,0,4.046142101,86.39702606
01/01/2023 23:30,5.014999866,0,4.290482044,86.19776154
01/01/2023 23:45,5.034999847,0,4.313990116,85.42469025
02/01/2023 00:00,4.980000019,0,3.964424372,86.01930237
02/01/2023 00:15,4.977499962,0,3.767408848,86.4552536
02/01/2023 00:30,4.987499714,0,3.993828058,86.33469391
02/01/2023 00:45,4.977499962,0,4.199649811,85.87248993
02/01/2023 01:00,4.934999943,0,4.129193783,86.33885956
02/01/2023 01:15,4.967499733,0,4.027864933,86.55310822
02/01/2023 01:30,4.920000076,0,4.033716202,87.56110382
02/01/2023 01:45,5.025000095,0,3.910890818,88.77288818
02/01/2023 02:00,4.920000076,0,4.112893105,89.83672333
02/01/2023 02:15,5,0,4.14811039,90.36698914
02/01/2023 02:30,4.887499809,0,4.110555649,90.58384705
02/01/2023 02:45,5.002500057,0,4.159216881,90.70589447
02/01/2023 03:00,4.994999886,0,3.956408739,90.70474243
02/01/2023 03:15,4.960000038,0,3.973599434,90.86029053
02/01/2023 03:30,4.889999866,0,3.835073709,90.95866394
02/01/2023 03:45,5,0,3.938372135,90.99320984
02/01/2023 04:00,5.005000114,0,3.742860556,90.9260025
02/01/2023 04:15,5.002500057,0,3.559618711,90.83201599
02/01/2023 04:30,4.932499886,0,3.312939644,91.2153244
02/01/2023 04:45,4.940000057,0,3.567810535,91.11552429
02/01/2023 05:00,5.0625,0,3.472493172,90.69814301
02/01/2023 05:15,5.109999657,0,3.596544743,90.65551758
02/01/2023 05:30,5.027499676,0,3.647251368,89.72053528
02/01/2023 05:45,4.809999943,0,3.702662945,89.08930206
02/01/2023 06:00,5,0,3.777029991,89.06084442
02/01/2023 06:15,5,0,3.615358591,88.90962219
02/01/2023 06:30,4.927499771,0,3.595726967,89.00562286
02/01/2023 06:45,4.900000095,0,3.401417255,89.09290314
02/01/2023 07:00,5.057499886,0,3.407232285,89.00501251
02/01/2023 07:15,5.480000019,0,3.096103191,89.23530579
02/01/2023 07:30,5.509999752,0,3.034478188,90.46235657
02/01/2023 07:45,5.375,0,2.861822367,91.03634644
02/01/2023 08:00,5.637499809,0,2.384043932,91.52069092
02/01/2023 08:15,5.914999962,0,2.14898777,91.55554199
02/01/2023 08:30,5.717499733,0,1.946466565,91.24038696
02/01/2023 08:45,5.259999752,18594.26,1.993800163,92.01502991
02/01/2023 09:00,5.394999981,15205.88,1.993167162,91.98106384
02/01/2023 09:15,5.34499979,11876.07,2.504432917,90.0131073
02/01/2023 09:30,5.380000114,13568.96,2.995145559,86.91196442
02/01/2023 09:45,5.777499676,8339.37,3.211015701,84.59741974
02/01/2023 10:00,6.039999962,14628.29,3.725732565,83.27826691
02/01/2023 10:15,6.107500076,12243.4,4.126803875,81.49062347
02/01/2023 10:30,6.177499771,29823.21,4.490199089,81.25523376
02/01/2023 10:45,6.569999695,100956.85,5.061524868,79.23052216
