Timestamp,Elec_Consump,Humidity,Light_Lux,Temperature
01/01/2022 21:45,5.194999695,75.32237244,0,11.34144402
01/01/2022 22:00,5.1875,74.55046844,0,11.52227879
01/01/2022 22:15,5.09499979,73.39998627,0,11.54318333
01/01/2022 22:30,5.199999809,73.63243866,0,11.25520039
01/01/2022 22:45,5.237499714,77.02916718,0,10.91889191
01/01/2022 23:00,5.159999847,78.15821838,0,10.74497318
01/01/2022 23:15,5.099999905,76.89331818,0,10.7961874
01/01/2022 23:30,5.1875,76.75734711,0,10.9548521
01/01/2022 23:45,5.212500095,75.29826355,0,11.3003912
02/01/2022 00:00,5.197499752,75.35853577,0,11.32527447
02/01/2022 00:15,5.082499981,75.60031128,0,10.96991253
02/01/2022 00:30,5.252500057,74.41148376,0,11.33395004
02/01/2022 00:45,5.214999676,73.63121796,0,11.14929676
02/01/2022 01:00,5.184999943,74.50084686,0,11.12522697
02/01/2022 01:15,5.174999714,74.56346893,0,11.24706841
02/01/2022 01:30,5.1875,75.24375916,0,11.28177166
02/01/2022 01:45,5.21999979,74.76528931,0,11.26552582
02/01/2022 02:00,5.284999847,73.89761353,0,11.25176811
02/01/2022 02:15,5.139999866,74.02457428,0,11.25404358
02/01/2022 02:30,5.167500019,74.5671463,0,11.05784512
02/01/2022 02:45,5.199999809,74.65505981,0,11.04000187
02/01/2022 03:00,5.212500095,74.37025452,0,10.90376949
02/01/2022 03:15,5.092499733,75.2912674,0,10.73280048
02/01/2022 03:30,5.134999752,75.24331665,0,10.69172001
02/01/2022 03:45,5.252500057,75.17576599,0,10.97625732
02/01/2022 04:00,5.174999714,75.58446503,0,10.7681694
02/01/2022 04:15,5.194999695,74.86407471,0,10.76999855
02/01/2022 04:30,5.085000038,74.03873444,0,10.84827995
02/01/2022 04:45,5.172499657,74.0520401,0,10.65288067
02/01/2022 05:00,5.170000076,74.18531799,0,10.50657082
02/01/2022 05:15,5.179999828,73.18466187,0,10.74895763
